token,count,first_token_count,candidate_score
amplificatore,42,25,97.79120300803262
thinman,28,28,97.65157906960775
set,55,23,96.60844057764359
bussola,45,24,95.71603491222737
materiale,33,26,95.21173416463637
poly,37,25,94.57724015288602
16gb,89,20,94.49600307693557
mobile,50,23,94.36381518538381
1000base,42,24,94.03000289233906
telecamera,37,24,90.93965399315964
remote,42,23,90.2688027766455
40gbase,31,25,90.10913347279289
security,379,14,89.10256879080647
easy,47,22,89.0376232508815
data,107,18,88.96049331536018
startech,29,25,88.43113192321604
diffusore,33,24,88.15901311540404
scatola,38,23,87.9254795071115
rilevatore,28,25,87.54969157964833
high,95,18,86.72261563788888
sonda,35,23,86.00445452294665
mds,26,25,85.69175851611256
connettore,45,21,84.23011072276009
estensione,28,24,84.18239574966185
sirena,27,24,83.30511275438009
convertitore,30,23,82.41569290764352
inserto,26,24,82.39592165010822
cassetto,29,23,81.62873715989173
one,309,13,80.31201216470869
single,109,16,79.90816621847108
audio,146,15,79.84692138845978
tubo,51,19,79.02487437162856
servizio,30,22,78.98170570315837
advanced,100,16,78.45704878630141
c9500,25,23,78.19431691251557
attuatore,28,22,77.4478040896889
worry,24,23,77.25301979683681
procurve,24,23,77.25301979683681
yamaha,26,22,75.80424791809958
cab,26,22,75.80424791809958
essential,38,19,73.27123292259293
32gb,45,18,72.7441865332928
extender,54,17,72.13199733418448
pro,255,12,72.0873067782343
documents,25,21,71.67812383647261
qsfp,66,16,71.47977452964642
room,61,16,70.16128454576656
interfaccia,38,18,69.60767127646328
quadro,36,18,68.60744034024026
rivelatore,29,19,68.02394763324311
touch,68,15,67.74570407355615
prolunga,42,17,67.70160208248413
ceiling,47,16,65.81041718543415
sistema,57,15,64.9670881687427
placca,24,19,64.37751649736401
dsk,23,19,63.56107660695891
piastra,26,18,62.62090045408225
1gb,46,15,61.602361627360935
fas2720,20,19,60.89044875446846
gateway,56,14,60.645769017518255
wireless,101,12,60.12464657269552
gruppo,27,17,59.979681183153666
p31,19,19,59.914645471079815
fascetta,22,18,59.574390102653844
led,137,11,59.127044221886464
64gb,31,16,58.91751034759535
plug,64,13,58.44142177853892
fs17,35,15,57.33630301529776
nastro,22,17,56.438895886724694
disk,33,15,56.421768393858585
quad,42,14,56.418001735403436
multi,75,12,56.2995334237223
fiber,162,10,56.031252208874385
balzac,25,16,55.3876411463652
copper,69,12,55.230438146641674
rail,67,12,54.85360016728939
netbotz,20,17,54.80140387902161
saas,24,16,54.72088902275941
contenitore,23,16,54.02691511591508
indoor,88,11,53.863636436785676
headset,34,14,53.330220922341205
peerless,18,17,52.99990162499593
hdd,81,11,52.880630967171044
net,26,15,52.733389856069266
jack,78,11,52.433374229604254
din,78,11,52.433374229604254
tastiera,39,13,51.644312357595105
unified,29,14,51.01796072493233
barra,36,13,50.55285077701914
cabinet,36,13,50.55285077701914
centrale,28,14,50.50943744979711
coppia,22,15,50.167907454866395
sid,18,16,50.055462645829486
interruttore,34,13,49.77487286085179
outdoor,89,10,49.497906373632915
included,33,13,49.36904734462626
inrow,25,14,48.87144807032223
scat,20,15,48.71235900357477
knx,40,12,48.276436867156
borsa,16,16,48.16462684895568
100gbase,19,15,47.931716376863854
25gbase,19,15,47.931716376863854
expressway,23,14,47.67080745521918
industrial,27,13,46.650863142452856
xprotect,47,11,46.454412130894696
griglia,17,15,46.24594812633863
txone,17,15,46.24594812633863
mouse,46,11,46.2017712205207
dna,100,9,46.151205168412595
threat,164,8,45.953509265105225
kingston,20,14,45.667836565851346
raspberry,25,13,45.61335153230075
spare,62,10,45.57448199030686
surface,43,11,45.41027560701913
capicorda,16,15,45.33141350489946
panasonic,24,13,45.06426154815481
cee,24,13,45.06426154815481
4gb,56,10,44.47356394618005
additional,136,8,44.27982833245313
start,29,12,44.21556596160802
husky,18,14,44.1665846874966
smartevent,27,12,43.318658632277646
pressacavo,21,13,43.274594347016425
dual,119,8,43.08742568503841
bracket,49,10,43.0322530597096
replacement,35,11,43.00222726147332
compact,48,10,42.81002327921689
fusibile,16,14,42.49820016084324
zoccolo,25,12,42.35525499427927
day,66,9,42.046926193909655
conf,24,12,41.845385723286604
ricevitore,24,12,41.845385723286604
universal,43,10,41.62608597310087
ego,15,14,41.58883083359672
video,99,8,41.44653167389283
enable,23,12,41.31469979452329
carbon,18,13,41.22214570833016
supportedge,14,14,40.62075301653315
thinkpad,17,13,40.4652046105463
solution,38,10,40.29917810742611
carrello,16,13,39.66498681678703
light,50,9,39.318256327243255
poe,133,7,39.18271839960729
device,76,8,39.09424879668316
ethernet,129,7,38.94027560364466
mounting,47,9,38.71201010907891
maintenance,72,8,38.61413497033552
server,243,6,38.480177577052416
cover,45,9,38.286413964890954
ventilatore,18,12,38.277706729163725
category,31,10,38.123094930796995
console,40,9,37.13572066704308
plus,196,6,36.98242610116592
morsettiera,16,12,36.83177347273081
web,38,9,36.635616461296465
ottica,178,6,36.311700640885284
8gb,53,8,35.90085641907847
ram,34,9,35.553480614894134
notebook,24,10,35.407634073550206
professional,50,8,35.38643069451893
cassa,18,11,35.33326774999728
access,81,7,35.25375397811403
canalina,14,12,35.20465261432873
uhd,48,8,35.02638268299564
top,32,9,34.965075614664805
splitter,23,10,34.9585921338274
ips,70,7,34.101439016330524
tavolo,40,8,33.42214860033877
micro,39,8,33.199915087025424
2gb,35,8,32.25167044610499
nic,35,8,32.25167044610499
full,55,7,32.2028135258812
ups,96,6,32.02297684952368
sony,34,8,31.998132553404723
exchange,23,9,31.780538303479457
vulnerability,13,11,31.6686879553831
sandisk,13,11,31.6686879553831
cassetta,13,11,31.6686879553831
pinza,13,11,31.6686879553831
amp,50,7,31.454605061794606
mixer,22,9,31.354942159291497
battery,47,7,30.96960808726313
two,21,9,30.91042453358316
unita,21,9,30.91042453358316
singlemode,21,9,30.91042453358316
fas2750,12,11,30.779392289538443
proiettore,29,8,30.610776434959398
c220,44,7,30.453299918162557
ipad,20,9,30.44522437723423
itb,28,8,30.305662469878268
assembly,43,7,30.273517071346088
annual,42,7,30.0896009255485
active,72,6,30.033216088038735
door,27,8,29.989840591576833
big,19,9,29.957322735539908
morsetto,19,9,29.957322735539908
cat6,71,6,29.936662833112386
performance,41,7,29.901356946266947
trade,11,11,29.818879797456006
collare,14,10,29.788552212124312
tlc,14,10,29.788552212124312
isr,14,10,29.788552212124312
aironet,14,10,29.788552212124312
wyrestorm,14,10,29.788552212124312
camera,139,5,29.649854535655823
forticlient,18,9,29.444389791664403
extension,65,6,29.327583194184975
vertical,25,8,29.32286884219334
antenna,63,6,29.1121815835177
maestro,13,10,29.029630625767844
frutto,13,10,29.029630625767844
ccx,13,10,29.029630625767844
ecostruxure,17,9,28.903717578961647
sandblast,115,5,28.521541146638185
lcd,53,6,27.92288832594992
subscription,262,4,27.860770160888823
chiave,21,8,27.819382080224845
pdu,50,6,27.52277942907028
commvault,11,10,27.333973147668004
sql,11,10,27.333973147668004
central,92,5,27.195596958919538
ise,14,9,27.0805020110221
cmc,14,9,27.0805020110221
controllore,14,9,27.0805020110221
flex,46,6,26.951033211970408
guaina,46,6,26.951033211970408
appc,13,9,26.390573296152585
chiavetta,13,9,26.390573296152585
scheduled,13,9,26.390573296152585
prestazione,10,10,26.376848000782076
hyperflex,10,10,26.376848000782076
scanmail,10,10,26.376848000782076
100g,42,6,26.328400809854937
fibra,42,6,26.328400809854937
encoder,17,8,26.01334582106548
factory,17,8,26.01334582106548
batterie,24,7,25.751006598945605
helios,24,7,25.751006598945605
hamlet,12,9,25.649493574615366
racc,12,9,25.649493574615366
acc,16,8,25.498920096505945
zebra,16,8,25.498920096505945
controller,68,5,25.404639027583556
rackmount,15,8,24.95329850015803
asr,15,8,24.95329850015803
fortianalyzer,11,9,24.849066497880003
fiberx,11,9,24.849066497880003
porta,140,4,24.743799451890844
switcher,21,7,24.72833962686653
ekahau,14,8,24.37245180991989
passerella,14,8,24.37245180991989
fixed,57,5,24.362658063278516
chassis,57,5,24.362658063278516
blank,20,7,24.356179501787384
not,20,7,24.356179501787384
winsvrstdcore,10,9,23.978952727983707
bcm,10,9,23.978952727983707
rsa,10,9,23.978952727983707
sezionamento,10,9,23.978952727983707
50cm,10,9,23.978952727983707
arakno,19,7,23.965858188431927
can,19,7,23.965858188431927
10g,53,5,23.933904279385647
display,51,5,23.707462311488566
cavi,50,5,23.590953796345953
processore,18,7,23.555511833331522
stampante,18,7,23.555511833331522
hub,18,7,23.555511833331522
pwr,17,7,23.122974063169316
moduli,46,5,23.10088561026035
combinatore,12,8,23.08454421715383
supp,26,6,23.070858062030304
array,26,6,23.070858062030304
nexsus,9,9,23.02585092994046
npc,9,9,23.02585092994046
dahua,9,9,23.02585092994046
extended,25,6,22.806675766150374
business,41,5,22.42601770970021
securid,11,8,22.364159848092005
trasformatore,11,8,22.364159848092005
presentation,11,8,22.364159848092005
epson,15,7,22.18070977791825
termostato,15,7,22.18070977791825
media,39,5,22.13327672468362
alimentazione,82,4,22.09420303898299
direct,37,5,21.825516958358314
router,36,5,21.665507475865347
obsoleto,14,7,21.66440160881768
tappo,10,8,21.581057455185338
smartx,10,8,21.581057455185338
adattatori,10,8,21.581057455185338
digitus,10,8,21.581057455185338
pozzetto,10,8,21.581057455185338
enhanced,35,5,21.50111363073666
europe,34,5,21.332088368936482
1yr,34,5,21.332088368936482
c240,20,6,21.31165706406396
profilo,20,6,21.31165706406396
warranty,68,4,21.1705325229863
prime,13,7,21.112458636922067
vassoio,13,7,21.112458636922067
cornice,13,7,21.112458636922067
lic,66,4,21.023463096954828
espansione,32,5,20.979045368798882
three,19,6,20.970125914877936
nvme,65,4,20.948273710132128
mod,63,4,20.79441541679836
fas2720a,9,8,20.723265836946414
autocad,9,8,20.723265836946414
regolatore,9,8,20.723265836946414
riv,9,8,20.723265836946414
ic60h,9,8,20.723265836946414
custodia,18,6,20.61107285416508
qsfp28,30,5,20.60392322691088
mensola,12,7,20.519594859692294
broadcom,12,7,20.519594859692294
cloudguard,12,7,20.519594859692294
post,59,4,20.471722811110503
deployment,17,6,20.23260230527315
other,17,6,20.23260230527315
virtual,56,4,20.21525633917275
controllo,56,4,20.21525633917275
renewal,54,4,20.036665926162357
ic60n,11,7,19.879253198304003
decoder,11,7,19.879253198304003
infinity,11,7,19.879253198304003
modular,52,4,19.85145956776061
product,16,6,19.832493408393514
subwoofer,16,6,19.832493408393514
enclosure,26,5,19.775021196025975
global,26,5,19.775021196025975
bretelle,8,8,19.775021196025975
lindy,8,8,19.775021196025975
trendmicro,8,8,19.775021196025975
euromet,8,8,19.775021196025975
c2g,8,8,19.775021196025975
platform,48,4,19.45910149055313
solo,15,6,19.408121055678468
brady,15,6,19.408121055678468
confezione,15,6,19.408121055678468
om5,10,7,19.183162182386965
spark,10,7,19.183162182386965
nvidia,10,7,19.183162182386965
storage,45,4,19.143206982445477
vaio,14,6,18.95635140771547
5x8,40,4,18.56786033352154
zone,21,5,18.546254720149896
patchcord,13,6,18.47340130730681
telo,9,7,18.420680743952367
centralina,9,7,18.420680743952367
cuffia,9,7,18.420680743952367
centralino,9,7,18.420680743952367
win,20,5,18.26713462634054
rel,37,4,18.18793079863193
dsp,36,4,18.05458956322112
speaker,19,5,17.974393641323946
est,19,5,17.974393641323946
startup,12,6,17.954645502230758
rele,12,6,17.954645502230758
bosch,12,6,17.954645502230758
ptz,35,4,17.91759469228055
management,81,3,17.626876989057013
240gb,8,7,17.577796618689757
multimetro,8,7,17.577796618689757
booster,8,7,17.577796618689757
sandbox,8,7,17.577796618689757
apic,8,7,17.577796618689757
tattile,8,7,17.577796618689757
assistenza,11,6,17.394346548516
neutrik,11,6,17.394346548516
ventola,11,6,17.394346548516
mezzanine,11,6,17.394346548516
ascom,11,6,17.394346548516
cord,305,2,17.170755305857142
4hr,16,5,16.9992800643373
memoria,16,5,16.9992800643373
aci,16,5,16.9992800643373
strip,16,5,16.9992800643373
appliance,287,2,16.988881440407837
ddr4,68,3,16.93642601838904
etichette,10,6,16.785266909588593
systimax,10,6,16.785266909588593
sens,10,6,16.785266909588593
struttura,10,6,16.785266909588593
multifunzione,10,6,16.785266909588593
n2k,10,6,16.785266909588593
opt,27,4,16.66102255087602
3com,7,7,16.635532333438686
contabilizzatore,7,7,16.635532333438686
striscia,7,7,16.635532333438686
purelink,7,7,16.635532333438686
mcafee,7,7,16.635532333438686
interscan,7,7,16.635532333438686
amazon,7,7,16.635532333438686
supermicro,7,7,16.635532333438686
winsvrdccore,7,7,16.635532333438686
module,246,2,16.52816500988393
pareti,14,5,16.24830120661326
umbrella,14,5,16.24830120661326
1ge,14,5,16.24830120661326
fortimanager,9,6,16.11809565095832
tx6,9,6,16.11809565095832
lamp,9,6,16.11809565095832
600w,9,6,16.11809565095832
650w,9,6,16.11809565095832
flat,24,4,16.094379124341003
edge,24,4,16.094379124341003
anti,23,4,15.890269151739728
ultra,52,3,15.881167654208488
512mb,13,5,15.83434397769155
extra,13,5,15.83434397769155
production,13,5,15.83434397769155
stereo,51,3,15.80497487432571
vesa,50,3,15.727302530897303
iec,50,3,15.727302530897303
bobina,22,4,15.677471079645748
desk,22,4,15.677471079645748
small,48,3,15.567281192442506
accessory,21,4,15.45521226679158
pci,21,4,15.45521226679158
frame,21,4,15.45521226679158
philips,12,5,15.389696144769221
accessori,12,5,15.389696144769221
horizontal,12,5,15.389696144769221
hic,12,5,15.389696144769221
storagegrid,12,5,15.389696144769221
misuratore,8,6,15.380572041353537
unity,8,6,15.380572041353537
slide,8,6,15.380572041353537
control,44,3,15.226649959081278
doppia,42,3,15.04480046277425
matassa,19,4,14.978661367769954
jumper,19,4,14.978661367769954
patchsee,11,5,14.909439898728003
caricatore,11,5,14.909439898728003
scrivania,11,5,14.909439898728003
multipresa,11,5,14.909439898728003
add,139,2,14.824927267827912
meetings,39,3,14.755517816455745
android,18,4,14.722194895832201
10ge,18,4,14.722194895832201
protection,131,2,14.648405767759112
flip,7,6,14.55609079175885
proliant,7,6,14.55609079175885
allot,7,6,14.55609079175885
costo,7,6,14.55609079175885
pix,7,6,14.55609079175885
office,7,6,14.55609079175885
sdoppiatore,7,6,14.55609079175885
hid,17,4,14.451858789480823
piano,17,4,14.451858789480823
mic,36,3,14.443671650576897
collaborative,36,3,14.443671650576897
desktop,36,3,14.443671650576897
panel,120,2,14.387371636790224
varta,10,5,14.387371636790224
125w,10,5,14.387371636790224
tettuccio,10,5,14.387371636790224
spinner,10,5,14.387371636790224
lan,35,3,14.33407575382444
cat6a,16,4,14.16606672028108
pir,16,4,14.16606672028108
gigaspeed,16,4,14.16606672028108
bticino,16,4,14.16606672028108
palo,16,4,14.16606672028108
montanti,16,4,14.16606672028108
plan,33,3,14.105442098464646
secure,33,3,14.105442098464646
system,108,2,14.07404364668743
spacelogic,31,3,13.862943611198906
wifi,31,3,13.862943611198906
fabric,15,4,13.862943611198906
tester,9,5,13.815510557964275
lampada,9,5,13.815510557964275
pole,30,3,13.735948817940585
speed,30,3,13.735948817940585
sas,96,2,13.724132935510148
h410s,6,6,13.621371043387192
715w,6,6,13.621371043387192
serverprotect,6,6,13.621371043387192
winrmtdsktpsrvcscal,6,6,13.621371043387192
microbattery,6,6,13.621371043387192
powersoft,6,6,13.621371043387192
c9200l,6,6,13.621371043387192
analizzatore,6,6,13.621371043387192
xenta,6,6,13.621371043387192
quickvigi,6,6,13.621371043387192
neen,6,6,13.621371043387192
piantana,6,6,13.621371043387192
asr1k,6,6,13.621371043387192
backup,29,3,13.604789526648622
lte,29,3,13.604789526648622
collaboration,29,3,13.604789526648622
installazione,29,3,13.604789526648622
cuffie,14,4,13.54025100551105
staffe,14,4,13.54025100551105
phishing,14,4,13.54025100551105
customer,14,4,13.54025100551105
parete,87,2,13.43201044343462
guida,27,3,13.328818040700815
red,27,3,13.328818040700815
gestione,27,3,13.328818040700815
colonna,13,4,13.195286648076292
caricabatterie,13,4,13.195286648076292
braccio,13,4,13.195286648076292
air,26,3,13.183347464017316
scarico,26,3,13.183347464017316
tms,8,5,13.183347464017316
raccordo,8,5,13.183347464017316
350w,8,5,13.183347464017316
shure,8,5,13.183347464017316
matrice,8,5,13.183347464017316
cube,8,5,13.183347464017316
seagate,8,5,13.183347464017316
telepresence,8,5,13.183347464017316
auto,24,3,12.875503299472802
optical,71,2,12.829998357048165
canale,12,4,12.824746787307683
coperchio,12,4,12.824746787307683
custom,12,4,12.824746787307683
montaggio,67,2,12.658523115528322
aisle,22,3,12.541976863716599
prem,64,2,12.523161809686911
spese,7,5,12.476649250079014
veriton,7,5,12.476649250079014
bose,7,5,12.476649250079014
encl,7,5,12.476649250079014
elemento,7,5,12.476649250079014
convert,7,5,12.476649250079014
vostro,7,5,12.476649250079014
cpu,62,2,12.429404179174597
nas,11,4,12.424533248940001
os1,11,4,12.424533248940001
vga,58,2,12.23261233171716
linea,20,3,12.178089750893692
config,56,2,12.129153803503652
dispositivo,10,4,11.989476363991853
25mm,10,4,11.989476363991853
lorawan,10,4,11.989476363991853
fujitsu,10,4,11.989476363991853
electronic,10,4,11.989476363991853
1100w,10,4,11.989476363991853
dxi4700,10,4,11.989476363991853
tesira,10,4,11.989476363991853
carta,10,4,11.989476363991853
mtp,10,4,11.989476363991853
wyr,10,4,11.989476363991853
fg16or16,10,4,11.989476363991853
compute,19,3,11.982929094215963
ingresso,19,3,11.982929094215963
riser,19,3,11.982929094215963
cst,19,3,11.982929094215963
port,364,1,11.799794707164983
impianti,18,3,11.777755916665761
external,18,3,11.777755916665761
messaging,18,3,11.777755916665761
alim,18,3,11.777755916665761
elettroserratura,6,5,11.675460894331879
accessorio,6,5,11.675460894331879
addon,6,5,11.675460894331879
ubiquiti,6,5,11.675460894331879
hyperpod,6,5,11.675460894331879
copriforo,6,5,11.675460894331879
omniclass,6,5,11.675460894331879
cruzer,6,5,11.675460894331879
netconnect,6,5,11.675460894331879
canone,6,5,11.675460894331879
badge,6,5,11.675460894331879
barriera,6,5,11.675460894331879
blocco,6,5,11.675460894331879
300gb,6,5,11.675460894331879
subs,47,2,11.613603032723674
dali,17,3,11.561487031584658
ricarica,17,3,11.561487031584658
complete,46,2,11.550442805130174
apart,9,4,11.51292546497023
powertag,9,4,11.51292546497023
user,292,1,11.360345218034135
blanking,16,3,11.332853376224865
taz,16,3,11.332853376224865
bezel,16,3,11.332853376224865
sfp28,40,2,11.140716200112923
docking,15,3,11.090354888959125
schermo,15,3,11.090354888959125
fap,15,3,11.090354888959125
master,15,3,11.090354888959125
renew,246,1,11.018776673255955
mode,38,2,10.990684938388938
end,38,2,10.990684938388938
cont,8,4,10.986122886681098
ie2000,8,4,10.986122886681098
serratura,8,4,10.986122886681098
auricolare,8,4,10.986122886681098
accumulatore,8,4,10.986122886681098
ucp,8,4,10.986122886681098
teraspeed,8,4,10.986122886681098
dicentis,8,4,10.986122886681098
common,8,4,10.986122886681098
250w,8,4,10.986122886681098
bianco,238,1,10.952927103863022
11ac,37,2,10.912758479179157
servizi,36,2,10.832753737932673
diffusori,14,3,10.83220080440884
48v,14,3,10.83220080440884
sec,35,2,10.75055681536833
front,35,2,10.75055681536833
attivita,5,5,10.75055681536833
amazonbasics,5,5,10.75055681536833
lifesize,5,5,10.75055681536833
blackmagic,5,5,10.75055681536833
patchclip,5,5,10.75055681536833
wtd,5,5,10.75055681536833
sennheiser,5,5,10.75055681536833
behringer,5,5,10.75055681536833
ds100,5,5,10.75055681536833
cerchio,5,5,10.75055681536833
huddly,5,5,10.75055681536833
ewent,5,5,10.75055681536833
sti,5,5,10.75055681536833
digital,34,2,10.666044184468241
slim,34,2,10.666044184468241
pann,13,3,10.556229318461034
tablet,13,3,10.556229318461034
sms,13,3,10.556229318461034
black,186,1,10.462217233709174
stand,31,2,10.39720770839918
inline,7,4,10.39720770839918
magnetic,7,4,10.39720770839918
ip30,7,4,10.39720770839918
schneider,7,4,10.39720770839918
dl380g5,7,4,10.39720770839918
dante,30,2,10.30196161345544
onsite,30,2,10.30196161345544
automation,12,3,10.259797429846147
fissaggio,29,2,10.203592144986466
living,29,2,10.203592144986466
modbus,28,2,10.101887489959422
compliance,27,2,9.996613530525611
5ghz,27,2,9.996613530525611
laser,27,2,9.996613530525611
velcro,11,3,9.939626599152001
firepower,11,3,9.939626599152001
microfoni,11,3,9.939626599152001
webcam,11,3,9.939626599152001
expansion,26,2,9.887510598012987
express,26,2,9.887510598012987
screen,26,2,9.887510598012987
dvd,25,2,9.774289614064447
carica,6,4,9.729550745276565
csa,6,4,9.729550745276565
compnode,6,4,9.729550745276565
fas2240,6,4,9.729550745276565
1000mbps,6,4,9.729550745276565
planet,6,4,9.729550745276565
csr,6,4,9.729550745276565
ripetitore,6,4,9.729550745276565
elematic,6,4,9.729550745276565
materiali,6,4,9.729550745276565
etichettatrice,6,4,9.729550745276565
success,6,4,9.729550745276565
manicotto,6,4,9.729550745276565
minrray,6,4,9.729550745276565
lettori,6,4,9.729550745276565
technical,6,4,9.729550745276565
imc,6,4,9.729550745276565
events,24,2,9.656627474604601
essentials,123,1,9.640563131210074
ind,10,3,9.591581091193483
disco,10,3,9.591581091193483
four,10,3,9.591581091193483
zoom,23,2,9.534161491043838
10gbe,22,2,9.406482647787449
core,106,1,9.345657668923812
card,104,1,9.307920700315046
link,21,2,9.273127360074948
panview,9,3,9.210340371976184
soundbar,9,3,9.210340371976184
toshiba,9,3,9.210340371976184
order,9,3,9.210340371976184
100base,9,3,9.210340371976184
metal,20,2,9.13356731317027
256gb,20,2,9.13356731317027
500gb,20,2,9.13356731317027
due,20,2,9.13356731317027
microphone,20,2,9.13356731317027
hdtv,20,2,9.13356731317027
includes,94,1,9.107753783201082
24x7,19,2,8.987196820661973
crucial,5,4,8.958797346140274
anyconnect,5,4,8.958797346140274
tubetto,5,4,8.958797346140274
hci,5,4,8.958797346140274
accoppiatore,5,4,8.958797346140274
prodvx,5,4,8.958797346140274
fas2820,5,4,8.958797346140274
asus,5,4,8.958797346140274
toner,5,4,8.958797346140274
consolle,5,4,8.958797346140274
tannoy,5,4,8.958797346140274
hue,5,4,8.958797346140274
grabber,5,4,8.958797346140274
opzione,5,4,8.958797346140274
noleggio,5,4,8.958797346140274
conductor,5,4,8.958797346140274
viti,18,2,8.83331693749932
transceiver,81,1,8.813438494528507
srg,8,3,8.788898309344878
flangia,8,3,8.788898309344878
shared,8,3,8.788898309344878
heat,8,3,8.788898309344878
gel,8,3,8.788898309344878
install,8,3,8.788898309344878
dymo,8,3,8.788898309344878
dcn,8,3,8.788898309344878
ball,8,3,8.788898309344878
5mt,79,1,8.764053269347762
c13,76,1,8.687610843707368
hitachi,17,2,8.671115273688493
displayport,17,2,8.671115273688493
de224c,17,2,8.671115273688493
codec,17,2,8.671115273688493
fibre,75,1,8.661466680572662
mpo,75,1,8.661466680572662
trunk,73,1,8.60813018640834
mac,72,1,8.580918882296782
color,16,2,8.49964003216865
terminale,16,2,8.49964003216865
diff,16,2,8.49964003216865
om3,69,1,8.496990484098719
1tb,66,1,8.409385238781931
os2,63,1,8.317766166719343
thin,15,2,8.317766166719343
file,15,2,8.317766166719343
1ru,15,2,8.317766166719343
condensatore,15,2,8.317766166719343
yellow,15,2,8.317766166719343
embedded,7,3,8.317766166719343
toll,7,3,8.317766166719343
supporti,7,3,8.317766166719343
magic,7,3,8.317766166719343
tpm,7,3,8.317766166719343
fortiguard,7,3,8.317766166719343
lente,7,3,8.317766166719343
face,7,3,8.317766166719343
eco,7,3,8.317766166719343
chief,7,3,8.317766166719343
tag,7,3,8.317766166719343
antennas,7,3,8.317766166719343
pavimento,59,1,8.1886891244442
contatti,14,2,8.12415060330663
accessories,14,2,8.12415060330663
female,55,1,8.0507033814703
sharefile,4,4,8.047189562170502
ghiere,4,4,8.047189562170502
xovis,4,4,8.047189562170502
tenant,4,4,8.047189562170502
daas,4,4,8.047189562170502
soluzione,4,4,8.047189562170502
sqlcal,4,4,8.047189562170502
fortiswitch,4,4,8.047189562170502
upass,4,4,8.047189562170502
r6404s,4,4,8.047189562170502
clickshare,4,4,8.047189562170502
canalis,4,4,8.047189562170502
rinn,4,4,8.047189562170502
ucsx,4,4,8.047189562170502
opticom,4,4,8.047189562170502
illuminatore,4,4,8.047189562170502
trasf,4,4,8.047189562170502
alimentatori,4,4,8.047189562170502
microchip,4,4,8.047189562170502
cpap,4,4,8.047189562170502
erard,4,4,8.047189562170502
utax,4,4,8.047189562170502
forbici,4,4,8.047189562170502
modifiche,4,4,8.047189562170502
cacciavite,4,4,8.047189562170502
pressostato,4,4,8.047189562170502
avvisatore,4,4,8.047189562170502
alteon,4,4,8.047189562170502
h410c,4,4,8.047189562170502
precisionhd,4,4,8.047189562170502
oneu,4,4,8.047189562170502
resistenza,4,4,8.047189562170502
quotazione,4,4,8.047189562170502
erogatore,4,4,8.047189562170502
reversible,4,4,8.047189562170502
iolan,4,4,8.047189562170502
cat3560,4,4,8.047189562170502
sqlsvrstdcore,4,4,8.047189562170502
770w,4,4,8.047189562170502
1kw,4,4,8.047189562170502
fraud,4,4,8.047189562170502
cat2960,4,4,8.047189562170502
trnk,4,4,8.047189562170502
thon,4,4,8.047189562170502
cpr,54,1,8.014666370464942
2mt,54,1,8.014666370464942
bianca,53,1,7.977968093128549
xdr,52,1,7.940583827104244
hard,13,2,7.917171988845775
wide,50,1,7.8636512654486515
