Codice Articolo,Descrizione Articolo,Inventario,Lob Associata,Lob Associata Cleaned,LOB Cleaning Decision,desc_token_count,desc_token_outlier
01109-001,"""Outdoor, 4K Ultra HD (8MP) camera, day/night, fixed box",Inventario,2013,2013,unchanged,10,0
0-1116412-1,INSERTO CIECO COLORE AVORIO,Inventario,1001,1001,unchanged,4,0
01145-001,"Discreet PTZ with HDTV 1080p, 1920x1080, 10x optical zoom,",Inventario,2013,2013,unchanged,9,0
01148-001.,AXIS T8129-E Outdoor PoE Extender repeats the data signal,Inventario,4009,4009,unchanged,10,0
01154-001,AXIS T8144 60W INDUSTRIAL MIDSPAN,Inventario,2013,2013,unchanged,5,0
01156-001,AXIS T94M02L RECESSED MOUNT,Inventario,2013,2013,unchanged,4,0
01164-001,AXIS T91B47 Pole Mount for indoor and outdoor installations,Inventario,2013,2013,unchanged,9,0
01170,MICROFONI DA SUPERFICIE,Inventario,4009,4009,unchanged,3,0
01178-001,"360°/180° fixed dome with 12 MP sensor and support for Forensic WDR, Lightfinder and OptimizedIR ill",Inventario,2013,2013,unchanged,17,0
01183-001,AXIS Q35 SMOKED DOME A 5PCS,Inventario,2013,2013,unchanged,6,0
01186-001,Network Video Decoder for easy display of video from I,Inventario,2013,2013,unchanged,10,0
01189-001,AXIS TELESCOPIC CEIL MNT 2P,Inventario,2013,2013,unchanged,5,0
01190-001,"Outdoor-ready, impact resistant (IK10+) back box with sealed",Inventario,2013,2013,unchanged,9,0
01444-001,AXIS T91G61 WALL MOUNT GREY,Inventario,2013,2013,unchanged,5,0
01445-001,Robust and impact-resistant aluminum wall mount for selected Axis PTZ and positioning cameras. Multi,Inventario,2013,2013,unchanged,15,0
01446-001,AXIS T91B57 POLE MOUNT GREY,Inventario,2013,2013,unchanged,5,0
01461-001,AXIS T94T02D PENDANT KIT,Inventario,2013,2013,unchanged,4,0
01470-001,"Aluminum Pole Mount for indoor and outdoor installations, for poles with diameter between 100-410 mm",Inventario,2013,2013,unchanged,16,0
01471-001,1 pair marine-grade (SS316L) stainless steel straps with TX30 screw interface for ease-of-installati,Inventario,2013,2013,unchanged,16,0
01481-002,Axis Q6054-E,Inventario,2013,2013,unchanged,3,0
01483-002,"AXIS - Q6054-E Mk III 50HZ, HDTV 720p",Inventario,2013,2013,unchanged,8,0
01491-001,AXIS SURVEILLANCE CARD 128 GB,Inventario,2013,2013,unchanged,5,0
01500-001,AXIS P3719-PLE Network Camera is a compact 15-megapixel camera with four varifocal lenses,Inventario,2013,2013,unchanged,15,0
01504-001.,AXIS P3717-PLE - Compact 8-megapixel camera with four varifo,Inventario,2013,2013,unchanged,10,0
01505-001,"Outdoor pendant kit for AXIS P38-PVE and Q36-VE series. Weathershield made from impact-, UV-, and he",Inventario,2013,2013,unchanged,18,1
01506-001,AXIS P1445-LE,Inventario,2013,2013,unchanged,3,0
0151254-04,Cavo ottico 4 fibre Loose 50/125um OM4 antirodent LSZH int/ext,Inventario,1002,1002,unchanged,12,0
0151254-12,Cavo ottico 12 fibr Loos 50/125um OM4 antirodent LSZH INT/EX,Inventario,1002,1002,unchanged,12,0
0151254-24,Cavo ottico 24 fibre Loose 50/125um OM4 antirodent LSZH int/ext,Inventario,1,1,unchanged,12,0
01532-001,"HDTV 1080p resolution, day/night, fixed box camera providing Forensic WDR and Lightfinder 2.0 techno",Inventario,2013,2013,unchanged,16,0
01533-001,AXIS P1375-E,Inventario,2013,2013,unchanged,3,0
0-1536975-1,PIGTAIL LC MULTIMODALE 50/125 UM 1MT,Inventario,1001,1001,unchanged,7,0
01564-001,"AXIS D2110-VE Security Radar, 24.05–24.25 GHz, FMCW, for wall mounting outdoor. Reliable 180 degrees",Inventario,2013,2013,unchanged,18,1
01573-001,AXIS P1445-LE-3 License Plate Verifier Kit,Inventario,2013,2013,unchanged,8,0
01574-001,AXIS LICENSE PLATE VERIFIER 1P E-LICENSE Single unit e-license for AXIS License Plate Verifier.,Inventario,2013,2013,unchanged,16,0
01584-00,AXIS Q3517-SLVE CLEAR DOME 2P,Inventario,2013,2013,unchanged,6,0
01592-001,"AXIS P3245-LV Fixed dome with support for Forensic WDR, Lightfinder 2.0 and OptimizedIR illumination",Inventario,2013,2013,unchanged,16,0
01593-001,AXIS P3245-LVE,Inventario,2013,2013,unchanged,3,0
0-1593107-6,CAVO TYCO LOOSE 12 FIBRE 9/125um LSZH,Inventario,1002,1002,unchanged,8,0
01595-001,"AXIS P3247-LV is a day/night fixed dome with discreet, dust- and IK10 vandal-resistant indoor casing",Inventario,2013,2013,unchanged,18,1
01604-001,"AXIS M3115-LVE is a compact mini dome in a flat-faced, outdoor-ready, IK08 impact-resistant design w",Inventario,2013,2013,unchanged,19,1
01605-001,AXIS M3116-LVE,Inventario,2013,2013,unchanged,3,0
01679-001,"Four channel video encoder supporting PAL/NTSC cameras. Multiple, individually configurable H.264, H",Inventario,2013,2013,unchanged,14,0
01680-001,Axis P7304 Video Encoder,Inventario,2013,2013,unchanged,4,0
01681-001,"PTZ camera with continues 360° pan for both indoor and outdoor with 32x optical zoom, Lightfinder 2,",Inventario,2013,2013,unchanged,17,0
01681-001.,"PTZ camera with continues 360° pan for both indoor and outdoor with 32x optical zoom, Lightfinder 2,",Inventario,2013,2013,unchanged,17,0
01706-001,"1.5"" NPT Male-to-Male coupler used to connect any AXIS Pendant Kit",Inventario,2013,2013,unchanged,14,0
01707-001,"AXIS M3065-V IS AN ULTRA-COMPACT, INDOOR FIXED NR 0 6 269,0000 27 196,3700 1.178,22 22 8/06/21MINI D",Inventario,2013,2013,unchanged,25,1
0-1711351-1,"Bretella di permutazione RJ45/RJ45 UTP Bianco, Cat 6 MT1,5",Inventario,1001,1001,unchanged,11,0
0-1711351-2,"Bretella di permutazione RJ45/RJ45 UTP Bianco, Cat 6 MT2,5",Inventario,1001,1001,unchanged,11,0
01725-001,AXIS PERIMETER DEFENDER PTZ 1P ELIC,Inventario,2013,2013,unchanged,6,0
01751-002,AXIS Q6075-E 50HZ,Inventario,2013,2013,unchanged,4,0
01757-001,AXIS TP3201 RECESSED MOUNT,Inventario,2013,2013,unchanged,4,0
0176-002,VIDEO SERVER 2401,Inventario,2013,2013,unchanged,3,0
0-1777029-1,"MRJ 21, 24 Port Straight Patch Panel 10/100/1000BASE-T",Inventario,1001,1001,unchanged,11,0
01798-001,AXIS TP3901 MICROPHONE KIT,Inventario,3004,3004,unchanged,4,0
01808-001,AXIS P1377,Inventario,2013,2013,unchanged,2,0
01809-001,AXIS P1377-LE,Inventario,2013,2013,unchanged,3,0
01819-001,AXIS Q3819-PVE delivers a 180º panoramic overview of extensive areas. With 14 MP resolution and seam,Inventario,2013,2013,unchanged,17,0
01819-002,Q3819-PVE,Inventario,2013,2013,unchanged,2,0
01856-001,Recessed mount for selected AXIS M30 cameras. Includes covers for fixed mini dome and panoramic came,Inventario,2013,2013,unchanged,16,0
0191252-12,Cavo ottico 12 fibre Loose 9/125um OS2 antirodent LSZH int/ext,Inventario,1002,1002,unchanged,12,0
01919-001,Full HDTV 1080p fixed dome onboard camera for rolling stock and vehicles with male RJ-45 network con,Inventario,2013,2013,unchanged,18,1
01924-002,Q6315-LE 50 HZ HIGH-END PTZ CAMERA WITH HDTV 1080P,Inventario,2013,2013,unchanged,11,0
01942-001,AXIS D4100-E NETWORK STROBE SIREN,Inventario,2013,2013,unchanged,6,0
01947,BASE MICR. IN GHISA TELESCOPICA RAL9005,Inventario,4009,4009,unchanged,6,0
01950,ASTA MICR. C/GIRAFFA TREPP. SU BASE NYLON RAL9005,Inventario,4009,4009,unchanged,9,0
01951,Euromet supporto microfono fisso,Inventario,3004,3004,unchanged,4,0
01958-002,"AXIS - Q6135-LE 50HZ, PTZ camera with continues 360gr pan and build in IR illumination (200M)",Inventario,2013,2013,unchanged,16,0
01990-001,F9111 MAIN UNIT,Inventario,2013,2013,unchanged,3,0
01991-001,AXIS F9114 MAIN UNIT,Inventario,2013,2013,unchanged,4,0
01997-001,AXIS p1455-LE,Inventario,2013,2013,unchanged,3,0
01AX217,Lenovo Keyboard Skywalker IT,Inventario,3004,3004,unchanged,4,0
02021-001,SURVEILLANCE CARD 256GB,Inventario,2013,2013,unchanged,3,0
02026-001,AXIS A8207-VE Network Video Door Station combines a fully featured 6MP security camera,Inventario,2013,2013,unchanged,14,0
02036-002,Sixteen-channel video encoder support PAL/NTSC cameras.,Inventario,2013,2013,unchanged,8,0
02037-002,AXIS P7316 Video Encoder,Inventario,2013,2013,unchanged,4,0
02098-001,"AXIS TD4801 Sunshield, 4 pcs",Inventario,2013,2013,unchanged,5,0
02105-002,AXIS S3008 2 TB Recorder is a compact recorder with 8 PoE ports and a gigabit uplink. Up to 8 device,Inventario,2013,2013,unchanged,21,1
02107-001,An outdoor pendant kit for mounting AXIS Q38 Series.,Inventario,2013,2013,unchanged,9,0
021-07257,OFFICESTD SNGL LICSAPk OLV NL 1Y AqY1 AP,Inventario,3002,3002,unchanged,8,0
02108-001,AXIS TQ3102 Pendant Kit,Inventario,2013,2013,unchanged,4,0
021-10609,OfficeStd 2019 SNGL OLP NL,Inventario,3002,3002,unchanged,5,0
02112-001,M4215-LV,Inventario,2013,2013,unchanged,2,0
02124-001,M2035-LE,Inventario,2013,2013,unchanged,2,0
02125-001,"""Day/night, compact and outdoor-ready bullet style 4 MP camera, IP66, IP67, NEMA 4X and IK08-rated.",Inventario,2013,2013,unchanged,18,1
02144-001,AXIS A4020-E Reader,Inventario,2013,2013,unchanged,4,0
02150-001,AXIS Q1951-E 7mm 30 fps,Inventario,2013,2013,unchanged,6,0
02152-001,Q1951-E 13mm 30 fps,Inventario,2013,2013,unchanged,5,0
0-2153052-5,"Cavo trunk MRJ21/MRJ21, XG, schermato, metri 5",Inventario,1001,1001,unchanged,8,0
02154-001,"Outdoor thermal network camera for wall and ceiling mount, 384x288 resolution, 30 fps, and 19 mm len",Inventario,2013,2013,unchanged,17,0
02156-001,AXIS Q1951-E 35mm 30 fps,Inventario,2013,2013,unchanged,6,0
02172-002,Single port midspan for Power over Ethernet Plus (PoE+) IEEE 802.3at Type 2 Class 4 products,Inventario,2013,2013,unchanged,17,0
02174-001,AXIS Q1961-TE Q1961-TE is an ARTPEC 8 based thermometric camera that lets you remotely monitor tempe,Inventario,2013,2013,unchanged,18,1
02208-001,AXIS 30 W MIDSPAN AC/DC,Inventario,2013,2013,unchanged,6,0
02218-001,AXIS P3727-PLE,Inventario,2013,2013,unchanged,3,0
02224-001,AXIS Q3536-LVE 29 mm,Inventario,2013,2013,unchanged,5,0
02225-001,AXIS Q3538-LVE Dome Camera,Inventario,2013,2013,unchanged,5,0
02250-001,TU6004-E CABLE 8M,Inventario,2013,2013,unchanged,4,0
02252-001,AXIS TU6004-E CABLE 30M,Inventario,2013,2013,unchanged,5,0
02274-001,TQ3902 MOUNT BRACKET,Inventario,2013,2013,unchanged,3,0
02300GS11007,CONF. 12 RIBBON 2300 CERA 110MMX74M CORE 12.7MM,Inventario,3004,3004,unchanged,9,0
02303-001,AXIS TA4701 Access Card 100P,Inventario,2014,2014,unchanged,5,0
02316-002,AXIS Q6225-LE 50 Hz,Inventario,2013,2013,unchanged,5,0
02327-001,"""High-performance fixed dome camera with Deep Learning Processing Unit (DLPU). Forensic WDR, Lightfi",Inventario,2013,2013,unchanged,14,0
02328-001,High-performance fixed dome camera with Deep Learning Processing Unit,Inventario,2013,2013,unchanged,10,0
02329-001,High-performance fixed dome camera with Deep Learning Processing Unit (DLPU).,Inventario,2013,2013,unchanged,11,0
02330-001,"""High-performance fixed dome camera with Deep Learning Processing Unit (DLPU). Forensic WDR, Lightfi",Inventario,2013,2013,unchanged,14,0
02331-001,AXIS P3268-LV,Inventario,2013,2013,unchanged,3,0
02332-001,AXIS P3268-LVE,Inventario,2013,2013,unchanged,3,0
02337400,"Base station 1 Gb version, IP POE",Inventario,2006,2006,unchanged,7,0
02339-001,AXIS P1465-LE,Inventario,2013,2013,unchanged,3,0
02341-001,"""Compact outdoor, NEMA 4X, IP66, IP67 and IK10-rated 5MP resolution, day/night, fixed bullet camera",Inventario,2013,2013,unchanged,16,0
02342-001,P1468-LE,Inventario,2013,2013,unchanged,2,0
0236 6000,"WIRELESS SERVER 600v3, SCCP - DEMO KIT",Inventario,4003,4003,unchanged,6,0
02365-001,AXIS SURVEILLANCE CARD 512GB,Inventario,2013,2013,unchanged,4,0
02373-001,M3085-V,Inventario,2013,2013,unchanged,2,0
02383-001,"Designed for indoor drop ceiling installations for selected Axis cameras (M3067/8, M4216). It’s robu",Inventario,2013,2013,unchanged,16,0
02390-001,AXIS C1511 Network Pendant Speaker,Inventario,2013,2013,unchanged,5,0
02415-001,"AXIS P4705-PLVE offers two channels with 2MP per channel, at a frame rate of up to 60 fps. .",Inventario,2013,2013,unchanged,19,1
02420-001,AXIS Q1656-DLE Radar-Video Fusion Camera,Inventario,2013,2013,unchanged,7,0
02450-001,AXIS P3827-PVE Panoramic Camera,Inventario,2013,2013,unchanged,5,0
02464-021,"AXIS TU6001 CONN 3-PIN 3,81 MM 10P",Inventario,2013,2013,unchanged,9,0
02468-021,TU6003 Conn Kit FAKRA 10P,Inventario,2013,2013,unchanged,5,0
024A0014G657A1,12G50/125 OM4 BI 1750NCPR Dca,Inventario,1002,1002,unchanged,6,0
02507-001,AXIS Q1808-LE,Inventario,2013,2013,unchanged,3,0
0251253-04,Cavo ottico CST 4 fibre Loose 50/125um OM3 antirodent PE,Inventario,1002,1002,unchanged,11,0
0251254-08,Cavo ottico CST 8 fibre Loose 50/125um OM4 antirodent PE int/ext,Inventario,1002,1002,unchanged,13,0
02610000,"Spectrlaink 7212 Handset, includes battery.Order Charger",Inventario,2006,2006,unchanged,7,0
02633-001,AXIS P3735-PLE,Inventario,2013,2013,unchanged,3,0
02635-001,P3738-PLE,Inventario,2013,2013,unchanged,2,0
0264 0000,Spectralink,Inventario,4002,4002,unchanged,1,0
0264 0000.,"Spectralink 7622 Handset, 1GB, includes battery. Order Charger and Powersupply separately",Inventario,4002,4002,unchanged,11,0
02640000,"Spectralink 7622 Handset, 1G8, includes battery",Inventario,2006,2006,unchanged,6,0
02640-001,F2105-RE STANDARD SENSOR,Inventario,2013,2013,unchanged,4,0
026423.87,ACCENTIC MIFARE READER + KEYPAD,Inventario,2014,2014,unchanged,4,0
02650000,Spectralink 7642 Handset,Inventario,2006,2006,unchanged,3,0
02657-001,Axis Q3839-PVE,Inventario,2013,2013,unchanged,3,0
02663,HEADSET ILIVE 12 HM C/CONN. CW X SYSTEM 10,Inventario,4009,4009,unchanged,10,0
02677-001,M4215-LV,Inventario,2013,2013,unchanged,2,0
02709-001,AXIS C6110,Inventario,2014,2014,unchanged,2,0
02712-001,TP1602-E Conduit Back Box,Inventario,2013,2013,unchanged,5,0
02736-001,P1387-LE Box Camera,Inventario,2013,2013,unchanged,4,0
02740-002,T8154 60 W SFP,Inventario,2013,2013,unchanged,4,0
02750-001,TP4601-E Conduit Back Box,Inventario,2013,2013,unchanged,5,0
02764-002,AXIS S3008 Mk II 2 TB Recorder is a compact recorder with 8 PoE ports and a gigabit uplink,Inventario,2013,2013,unchanged,19,1
02789-001,AXIS TC6901 Gooseneck Microphone,Inventario,2014,2014,unchanged,4,0
0288-002,AXIS Q7401 CODIFICATORE VIDEO A 1 CANALE,Inventario,2013,2013,unchanged,7,0
02897-001,P3747-PLVE,Inventario,2013,2013,unchanged,2,0
0291252-12,Cavo ottico CST 12 fibre Loose 9/125um OS2 antirodent PE,Inventario,1002,1002,unchanged,11,0
02914-001,AXIS P5654-E 50HZ mk II,Inventario,2013,2013,unchanged,6,0
02930-001,AXIS D4200-VE,Inventario,1016,1016,unchanged,3,0
0293-002,AXIS P1311,Inventario,2013,2013,unchanged,2,0
02968-001,Q1686-DLE Radar-Video Fusion Camera,Inventario,2013,2013,unchanged,6,0
0298-001,AXIS M7001,Inventario,2013,2013,unchanged,2,0
03.3.152.02.41.004.0,Azores RCT AE - Absorber FR | (T61) Slate Grey,Inventario,4009,4009,unchanged,8,0
03.E1260,DMX MASTER SOFTWARE 2-INTERFACCIA IN& OUT,Inventario,24001,24001,unchanged,7,0
03.F009.03,PORTAFERRETTO DA INCASSO D50M OR. BIANCO,Inventario,24001,24001,unchanged,6,0
03.LA.001,T-BOX CONNETTORE 1 IN+2 OUT IP20 RJ12,Inventario,24001,24001,unchanged,9,0
03.LA.009,Z1 INDOOR IP20 ALIMENTAT. E DMX CONTROL,Inventario,24001,24001,unchanged,7,0
03.LA.014,Z4 INDOOR IP20 RACK ALIMENT. E DMX CTRL DEMO,Inventario,24001,24001,unchanged,9,0
03.LB001.26.F25,FOS 100 IP65 FULL COLOR MEDIUM SILVER PROD. DEMO,Inventario,24001,24001,unchanged,9,0
03.LB001.26.F40,FOS 100 IP5 FULL COLOR WIDE SILVER,Inventario,24001,24001,unchanged,7,0
0303-042,BUNDLE WITH 1 Q1755 50 Hz (0303-001) AND 1 T92A00 (5015-001),Inventario,2013,2013,unchanged,13,0
03069-001,D6210 Air Quality Sensor,Inventario,2013,2013,unchanged,4,0
03083-001,AXIS TA4712 Key Fob 50 pcs,Inventario,2013,2013,unchanged,6,0
03150-001,P3275-LVE,Inventario,2013,2013,unchanged,2,0
031-70548-12G,Connettore SDI Amphenol RF,Inventario,4009,4009,unchanged,4,0
03179,Stativo per Cassa in Alluminio argento H 1305-2250,Inventario,4009,4009,unchanged,9,0
03181-001,AXIS P1475-LE,Inventario,2013,2013,unchanged,3,0
03204,Piastra frontale modulare 4M,Inventario,17001,17001,unchanged,4,0
0321-002,AXIS I/O DEVICE P8221,Inventario,3004,3004,unchanged,5,0
0324-001,P1344 HDTV DAY/NIGHT FIXED CAMERA,Inventario,2013,2013,unchanged,6,0
0326-041,AXIS P3344 12mm: HDTV d&n FIXED DOME,Inventario,2013,2013,unchanged,8,0
0328-001,"AXIS P1346 - HDTV, DAY/NIGHT, FIXED CAMERA",Inventario,2013,2013,unchanged,7,0
0333-606,"Single unit license for AXIS Perimeter Defender, a scalable",Inventario,2013,2013,unchanged,9,0
0333-608,Single unit e-license for AXIS Perimeter DefendeR,Inventario,2013,2013,unchanged,8,0
03376492,MANIGLIE PRIMA PLUS 9010/BIANC O 02792410 GS8 21326110,Inventario,1002,1002,unchanged,9,0
0338-002,AXIS M1054,Inventario,2013,2013,unchanged,2,0
03412,Piastra fondo NSX-INS250 H fisso/dir4P,Inventario,17001,17001,unchanged,7,0
0344-001,AXIS T92E05 PROTECTIVE HOUSING,Inventario,2013,2013,unchanged,4,0
035,035 Superclamp,Inventario,4009,4009,unchanged,2,0
03503089,SERRATURE DA INFILARE F.YALE C .O. <S+C> F22 (B00851.70.34) B80851.70.34,Inventario,1002,1002,unchanged,16,0
0351-001,AXIS P1346-E,Inventario,2013,2013,unchanged,3,0
0351256-24,Cavo ottico 24 fibre Loose 9/125um OS2 antirodent PE int/ext,Inventario,1002,1002,unchanged,12,0
03522554,ELETTROSERRATURA EST. C. FISSO V. NERO 1A721-00-0*CISA,Inventario,1002,1002,unchanged,10,0
03606,Piastra front. NSX160/250 fix dir 4P,Inventario,17001,17001,unchanged,7,0
0368-001,AXIS P1347-E,Inventario,2013,2013,unchanged,3,0
03804,Piastra frontale piena 4M,Inventario,17001,17001,unchanged,4,0
04/01975-00,SPINA RCA DORATA ANELLO NERO,Inventario,1002,1002,unchanged,5,0
040-100192-01.P,UCP HC V120 Series Media Kit,Inventario,3035,3035,unchanged,6,0
04030080,IOLAN-RJ45M to RJ45F Sun/Cisco crossover adapter,Inventario,3004,3004,unchanged,8,0
04030432,IOLAN STS8 D Secure Terminal Server,Inventario,3004,3004,unchanged,6,0
04031000,IOLAN DS1 D4 - 4 I/O DIGITALI,Inventario,2006,2006,unchanged,7,0
04031010,"IOLAN DS1 D2R2 - 2 I/O DIGITALI, 2 OUTPUT RELAY",Inventario,2006,2006,unchanged,10,0
04031100,"IOLAN SDS1 TA4D2 - 4 INPOUT ANALOGICI, 2 I/O DIGITALI",Inventario,2006,2006,unchanged,10,0
042,042 Extension Arm,Inventario,4009,4009,unchanged,3,0
0429553,"Pinze a becchi piatti Knipex, lungh. 257 mm A punta, Diritta",Inventario,3004,3004,unchanged,11,0
043-100210-02-UL-S.P,POWER CORD IEC C14 TO IEC C13 250VAC 10A WORLDWIDE APPROVALS 0.7 M,Inventario,3035,3035,unchanged,14,0
043-100210-03-UL-S.P,POWER CORD IEC C14 TO IEC C13 250VAC 10A WORLDWIDE approvals 1.5m,Inventario,3035,3035,unchanged,13,0
043-100210-04-UL-S.P,POWER CORD IEC C14 TO IEC C13 250VAC 10A WORLDWIDE approvals 2.5m,Inventario,3035,3035,unchanged,13,0
0433-001,AXIS T92E20 OUTDOOR HOUSING,Inventario,2013,2013,unchanged,4,0
04382,SUPP. DIA/VIDEO SOFF.UNIV. C.SNODO 150mm SILVER,Inventario,3004,3004,unchanged,9,0
044-231175-03.P,HNAS 4060 SW Lic - Data Migrator (DM),Inventario,3035,3035,unchanged,7,0
044-231183-03.P,"HNAS 4060 SW Lic - Replication (IDR, IBR, ADC)",Inventario,3035,3035,unchanged,8,0
044-237059-03.P,UCP Advisor Foundation Base Subscription License (per Installed Instance),Non in inventario,3035,3035,unchanged,9,0
044-237059-03A.P,UCP Advisor Foundation 1 Device (1-16) Subscription License - Monthly,Non in inventario,3035,3035,unchanged,10,0
044-239327-03.P,VSP E590 Hybrid Activation,Inventario,3035,3035,unchanged,4,0
0463-001,"AXIS Q1604-E Network Camera esterno, colore d/n 10/100",Inventario,2013,2013,unchanged,11,0
047282,LABEL MANAGER 420P,Inventario,3004,3004,unchanged,3,0
04903121472,AAA ( MINISTILO ) LONGLIFE GIALLO 8+4 MEGAPACK,Inventario,1002,1002,unchanged,7,0
04906121418,AA (STILO ) LONGLIFE BLU BLISTER 8+4,Inventario,1002,1002,unchanged,7,0
0-492458-1,"ST - FERRULE CERAMICO, CORPO METALLICO, MULTIMODALE",Inventario,1001,1001,unchanged,6,0
04Y2669,Lenovo Keyboard (ITALIAN) ThinkPad E531,Inventario,3004,3004,unchanged,5,0
05/20030-00,SPINA BNC A CRIMP. 75OHM UG1789U,Inventario,1002,1002,unchanged,6,0
05004016001,ASSORTIMENTO MISTO CON CHIAVE A CRICCHETTO WERA,Inventario,99001,99001,unchanged,7,0
0502B023,ALIMENT. 12VDC X MAX 3 LAMP. MR16 BIANCHE,Inventario,24001,24001,unchanged,8,0
